Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Run All Claim MV,Chrome 70.0.3538.102,,2018-11-27 11:34:47,2018-11-27 11:49:02,14m - 15.256s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - In RO,Chrome 70.0.3538.102,,2018-11-27 11:34:48,2018-11-27 11:38:11,3m - 23.633s,FAILED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:34:48,2018-11-27 11:35:43,54.833s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:35:43,2018-11-27 11:36:17,34.146s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:36:17,2018-11-27 11:37:05,47.751s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:37:05,2018-11-27 11:37:31,25.665s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:37:31,2018-11-27 11:38:11,40.563s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - Out Non Workshop,Chrome 70.0.3538.102,,2018-11-27 11:38:11,2018-11-27 11:49:01,10m - 50.012s,ERROR
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:38:12,2018-11-27 11:38:57,45.929s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:38:57,2018-11-27 11:39:40,42.996s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:39:40,2018-11-27 11:40:29,48.709s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:40:29,2018-11-27 11:40:57,27.737s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:40:57,2018-11-27 11:41:43,46.088s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:41:43,2018-11-27 11:49:01,7m - 18.312s,FAILED
